# time  ID  size  fromHost  toHost  TTL  isResponse
4553.0000 M155 681657 p3 p7 300 N 
4587.0000 M156 796114 p4 p2 300 N 
4613.0000 M157 739285 p9 p1 300 N 
4640.0000 M158 526214 p5 p3 300 N 
4667.0000 M159 672765 p0 p1 300 N 
4701.0000 M160 591118 p3 p2 300 N 
4728.0000 M161 591987 p9 p7 300 N 
4761.0000 M162 558919 p3 p7 300 N 
4793.0000 M163 716045 p5 p7 300 N 
4819.0000 M164 610098 p6 p5 300 N 
4851.0000 M165 844916 p7 p1 300 N 
4881.0000 M166 689925 p1 p2 300 N 
4912.0000 M167 629743 p8 p5 300 N 
4943.0000 M168 537933 p5 p6 300 N 
4972.0000 M169 818459 p6 p8 300 N 
5000.0000 M170 745444 p8 p5 300 N 
5030.0000 M171 736674 p1 p5 300 N 
5061.0000 M172 645366 p8 p0 300 N 
5095.0000 M173 594844 p4 p5 300 N 
5122.0000 M174 504630 p9 p6 300 N 
5150.0000 M175 816417 p2 p6 300 N 
5179.0000 M176 714819 p0 p2 300 N 
5204.0000 M177 919148 p3 p0 300 N 
5229.0000 M178 540776 p0 p8 300 N 
5258.0000 M179 502540 p5 p0 300 N 
5288.0000 M180 648681 p7 p0 300 N 
5315.0000 M181 827135 p4 p5 300 N 
5346.0000 M182 875548 p7 p4 300 N 
5376.0000 M183 574913 p6 p7 300 N 
5408.0000 M184 535919 p5 p8 300 N 
5442.0000 M185 547102 p0 p7 300 N 
5472.0000 M186 888943 p3 p1 300 N 
5506.0000 M187 899386 p4 p7 300 N 
5534.0000 M188 701911 p2 p8 300 N 
5568.0000 M189 904569 p1 p7 300 N 
5602.0000 M190 918565 p1 p4 300 N 
5629.0000 M191 729946 p1 p7 300 N 
5658.0000 M192 713147 p4 p9 300 N 
5690.0000 M193 904826 p3 p4 300 N 
5724.0000 M194 713084 p2 p3 300 N 
5754.0000 M195 925333 p1 p2 300 N 
5785.0000 M196 768233 p8 p6 300 N 
5811.0000 M197 743442 p5 p4 300 N 
5840.0000 M198 955499 p2 p5 300 N 
5871.0000 M199 624107 p2 p1 300 N 
5899.0000 M200 750272 p4 p7 300 N 
5933.0000 M201 723620 p1 p6 300 N 
5964.0000 M202 611998 p0 p5 300 N 
5993.0000 M203 610776 p7 p0 300 N 
6022.0000 M204 637880 p5 p4 300 N 
6050.0000 M205 658526 p7 p0 300 N 
6083.0000 M206 507801 p5 p4 300 N 
6113.0000 M207 764326 p5 p8 300 N 
6144.0000 M208 820678 p5 p4 300 N 
6170.0000 M209 677498 p0 p6 300 N 
6201.0000 M210 534782 p2 p6 300 N 
6229.0000 M211 667871 p8 p3 300 N 
6263.0000 M212 617082 p8 p3 300 N 
6297.0000 M213 956115 p1 p5 300 N 
6329.0000 M214 534703 p6 p8 300 N 
6360.0000 M215 655694 p5 p9 300 N 
6389.0000 M216 908392 p6 p5 300 N 
6418.0000 M217 678819 p8 p3 300 N 
6443.0000 M218 601070 p7 p2 300 N 
6477.0000 M219 895165 p0 p3 300 N 
6505.0000 M220 649698 p0 p2 300 N 
6536.0000 M221 810020 p7 p9 300 N 
6564.0000 M222 506879 p0 p2 300 N 
6596.0000 M223 554168 p8 p4 300 N 
6625.0000 M224 808218 p7 p6 300 N 
6659.0000 M225 861970 p7 p8 300 N 
6686.0000 M226 633283 p2 p0 300 N 
6713.0000 M227 952295 p1 p6 300 N 
6743.0000 M228 755588 p4 p0 300 N 
6774.0000 M229 823622 p7 p9 300 N 
6801.0000 M230 521246 p6 p2 300 N 
6828.0000 M231 782615 p4 p5 300 N 
6855.0000 M232 798960 p7 p9 300 N 
6888.0000 M233 876827 p3 p9 300 N 
6916.0000 M234 826546 p7 p2 300 N 
6941.0000 M235 588576 p6 p4 300 N 
6969.0000 M236 895329 p0 p7 300 N 
6999.0000 M237 551072 p9 p2 300 N 
7026.0000 M238 726259 p9 p2 300 N 
7053.0000 M239 991364 p9 p5 300 N 
7079.0000 M240 717474 p3 p2 300 N 
7105.0000 M241 698418 p5 p7 300 N 
7131.0000 M242 682754 p1 p5 300 N 
7161.0000 M243 553438 p4 p3 300 N 
7192.0000 M244 692060 p3 p8 300 N 
7219.0000 M245 779825 p2 p5 300 N 
7250.0000 M246 680679 p5 p3 300 N 
7277.0000 M247 649958 p6 p1 300 N 
7310.0000 M248 902350 p9 p0 300 N 
7340.0000 M249 928039 p6 p1 300 N 
7372.0000 M250 764272 p4 p3 300 N 
7397.0000 M251 893908 p3 p9 300 N 
7427.0000 M252 561706 p6 p4 300 N 
7452.0000 M253 541494 p8 p5 300 N 
7478.0000 M254 754136 p5 p9 300 N 
7510.0000 M255 924477 p8 p4 300 N 
7537.0000 M256 894847 p2 p6 300 N 
7565.0000 M257 996561 p0 p7 300 N 
7590.0000 M258 731976 p5 p2 300 N 
7618.0000 M259 872102 p4 p0 300 N 
7651.0000 M260 864355 p9 p7 300 N 
7678.0000 M261 563802 p3 p1 300 N 
7708.0000 M262 513133 p4 p2 300 N 
7737.0000 M263 548566 p5 p0 300 N 
7762.0000 M264 998284 p8 p2 300 N 
7795.0000 M265 545134 p5 p0 300 N 
7820.0000 M266 589551 p3 p1 300 N 
7848.0000 M267 520510 p3 p8 300 N 
7879.0000 M268 672560 p8 p1 300 N 
7912.0000 M269 776460 p1 p6 300 N 
7939.0000 M270 770451 p4 p8 300 N 
7972.0000 M271 540400 p5 p7 300 N 
8002.0000 M272 938911 p2 p0 300 N 
8036.0000 M273 531861 p6 p1 300 N 
8061.0000 M274 794881 p6 p3 300 N 
8091.0000 M275 722733 p4 p3 300 N 
8121.0000 M276 835433 p5 p2 300 N 
8149.0000 M277 958956 p8 p0 300 N 
8177.0000 M278 738448 p3 p2 300 N 
8205.0000 M279 740673 p6 p3 300 N 
8237.0000 M280 769675 p2 p4 300 N 
8267.0000 M281 900305 p4 p7 300 N 
8296.0000 M282 802435 p7 p6 300 N 
8329.0000 M283 643126 p8 p3 300 N 
8356.0000 M284 840270 p2 p0 300 N 
8381.0000 M285 679575 p9 p2 300 N 
8415.0000 M286 641128 p6 p4 300 N 
8440.0000 M287 607121 p2 p6 300 N 
8471.0000 M288 661182 p4 p9 300 N 
8498.0000 M289 788080 p3 p8 300 N 
8527.0000 M290 878133 p0 p6 300 N 
8554.0000 M291 609765 p4 p3 300 N 
8585.0000 M292 533756 p8 p6 300 N 
8613.0000 M293 681868 p0 p5 300 N 
8644.0000 M294 759677 p9 p5 300 N 
8672.0000 M295 726362 p8 p1 300 N 
8697.0000 M296 591690 p3 p1 300 N 
8729.0000 M297 724829 p6 p0 300 N 
8755.0000 M298 904189 p6 p0 300 N 
8782.0000 M299 644217 p8 p9 300 N 
8814.0000 M300 556109 p6 p7 300 N 
8840.0000 M301 818953 p9 p3 300 N 
8869.0000 M302 955865 p2 p4 300 N 
8894.0000 M303 720425 p6 p7 300 N 
8925.0000 M304 513483 p0 p4 300 N 
8951.0000 M305 987675 p6 p7 300 N 
8980.0000 M306 520630 p6 p3 300 N 
9013.0000 M307 708700 p6 p5 300 N 
9038.0000 M308 740952 p4 p8 300 N 
9063.0000 M309 647384 p4 p7 300 N 
9090.0000 M310 714807 p5 p7 300 N 
9124.0000 M311 616894 p9 p7 300 N 
9152.0000 M312 828359 p7 p9 300 N 
9178.0000 M313 575068 p8 p3 300 N 
9205.0000 M314 773182 p9 p8 300 N 
9231.0000 M315 732226 p9 p2 300 N 
9258.0000 M316 692309 p9 p0 300 N 
9292.0000 M317 556197 p9 p2 300 N 
9317.0000 M318 519273 p1 p9 300 N 
9349.0000 M319 857120 p4 p6 300 N 
9381.0000 M320 534156 p5 p1 300 N 
9411.0000 M321 954605 p6 p1 300 N 
9445.0000 M322 933588 p6 p3 300 N 
9477.0000 M323 536149 p7 p4 300 N 
9504.0000 M324 703803 p3 p2 300 N 
9536.0000 M325 760188 p4 p1 300 N 
9570.0000 M326 907849 p2 p0 300 N 
9603.0000 M327 532282 p8 p9 300 N 
9637.0000 M328 812845 p0 p9 300 N 
9662.0000 M329 795729 p4 p6 300 N 
9692.0000 M330 547278 p4 p0 300 N 
9722.0000 M331 901266 p9 p7 300 N 
9754.0000 M332 845912 p2 p3 300 N 
9786.0000 M333 554839 p5 p7 300 N 
9816.0000 M334 547012 p0 p4 300 N 
9841.0000 M335 902949 p6 p2 300 N 
9870.0000 M336 629812 p4 p3 300 N 
9903.0000 M337 575180 p1 p3 300 N 
9932.0000 M338 595090 p8 p1 300 N 
9965.0000 M339 522499 p0 p7 300 N 
9992.0000 M340 526550 p5 p2 300 N 
10024.0000 M341 761454 p0 p4 300 N 
10055.0000 M342 986239 p5 p1 300 N 
10082.0000 M343 525850 p6 p1 300 N 
10107.0000 M344 994710 p6 p1 300 N 
10135.0000 M345 602461 p5 p2 300 N 
10168.0000 M346 770608 p9 p2 300 N 
10193.0000 M347 627256 p0 p7 300 N 
10224.0000 M348 668234 p4 p7 300 N 
10258.0000 M349 598098 p2 p5 300 N 
10285.0000 M350 519507 p1 p0 300 N 
10319.0000 M351 672640 p6 p8 300 N 
10349.0000 M352 733657 p1 p9 300 N 
10382.0000 M353 558012 p5 p2 300 N 
10408.0000 M354 549861 p5 p6 300 N 
10440.0000 M355 857252 p9 p4 300 N 
10472.0000 M356 862484 p3 p2 300 N 
10504.0000 M357 904510 p7 p9 300 N 
10531.0000 M358 802700 p6 p4 300 N 
10564.0000 M359 564692 p3 p0 300 N 
10591.0000 M360 539515 p9 p2 300 N 
10617.0000 M361 911112 p8 p9 300 N 
10645.0000 M362 568051 p9 p8 300 N 
10677.0000 M363 903708 p2 p1 300 N 
10709.0000 M364 593496 p2 p8 300 N 
10740.0000 M365 620581 p7 p5 300 N 
10773.0000 M366 695064 p1 p2 300 N 
10800.0000 M367 718785 p0 p9 300 N 
10834.0000 M368 979779 p1 p0 300 N 
10868.0000 M369 992736 p8 p3 300 N 
10896.0000 M370 602740 p3 p7 300 N 
10925.0000 M371 662426 p1 p7 300 N 
10954.0000 M372 951985 p7 p1 300 N 
10986.0000 M373 837213 p8 p7 300 N 
11015.0000 M374 813514 p0 p5 300 N 
11040.0000 M375 630100 p6 p2 300 N 
11070.0000 M376 578931 p3 p8 300 N 
11100.0000 M377 903553 p4 p8 300 N 
11133.0000 M378 969896 p9 p1 300 N 
11164.0000 M379 981677 p2 p5 300 N 
11198.0000 M380 575325 p8 p9 300 N 
11225.0000 M381 809108 p4 p2 300 N 
11252.0000 M382 815148 p6 p3 300 N 
11277.0000 M383 859381 p1 p5 300 N 
11304.0000 M384 593734 p2 p4 300 N 
11336.0000 M385 857534 p8 p6 300 N 
11366.0000 M386 980934 p5 p7 300 N 
11394.0000 M387 576531 p6 p8 300 N 
11422.0000 M388 864199 p9 p3 300 N 
11450.0000 M389 937943 p5 p3 300 N 
11476.0000 M390 940391 p6 p3 300 N 
11507.0000 M391 731889 p2 p6 300 N 
11536.0000 M392 683524 p0 p9 300 N 
11563.0000 M393 604457 p8 p7 300 N 
11590.0000 M394 510209 p0 p4 300 N 
11624.0000 M395 572907 p4 p0 300 N 
11649.0000 M396 541506 p9 p0 300 N 
11674.0000 M397 589570 p7 p3 300 N 
11706.0000 M398 588971 p3 p4 300 N 
11732.0000 M399 877118 p7 p0 300 N 
11761.0000 M400 802148 p9 p0 300 N 
11794.0000 M401 502802 p1 p8 300 N 
11824.0000 M402 820292 p4 p3 300 N 
11850.0000 M403 740646 p5 p0 300 N 
11877.0000 M404 699076 p7 p6 300 N 
11908.0000 M405 935430 p7 p4 300 N 
11938.0000 M406 928462 p8 p2 300 N 
11971.0000 M407 870479 p8 p0 300 N 
12001.0000 M408 826337 p8 p7 300 N 
12026.0000 M409 958967 p6 p9 300 N 
12058.0000 M410 939852 p2 p9 300 N 
12091.0000 M411 527462 p1 p7 300 N 
12117.0000 M412 915204 p2 p5 300 N 
12148.0000 M413 593875 p2 p4 300 N 
12173.0000 M414 647904 p2 p8 300 N 
12205.0000 M415 698952 p4 p1 300 N 
12231.0000 M416 801597 p6 p9 300 N 
12258.0000 M417 639144 p3 p8 300 N 
12287.0000 M418 821776 p8 p6 300 N 
12313.0000 M419 982219 p1 p9 300 N 
12341.0000 M420 791244 p0 p6 300 N 
12367.0000 M421 870028 p9 p5 300 N 
12399.0000 M422 926263 p3 p8 300 N 
12426.0000 M423 812209 p0 p5 300 N 
12453.0000 M424 601091 p4 p5 300 N 
12481.0000 M425 823974 p7 p6 300 N 
12515.0000 M426 941355 p5 p0 300 N 
12543.0000 M427 654468 p8 p4 300 N 
12571.0000 M428 892501 p1 p4 300 N 
12600.0000 M429 559077 p5 p0 300 N 
12629.0000 M430 665073 p9 p3 300 N 
12657.0000 M431 575335 p9 p7 300 N 
12683.0000 M432 513291 p0 p7 300 N 
12712.0000 M433 572930 p1 p9 300 N 
12745.0000 M434 973842 p7 p9 300 N 
12773.0000 M435 724287 p7 p2 300 N 
12799.0000 M436 509017 p1 p0 300 N 
12830.0000 M437 504386 p8 p9 300 N 
12859.0000 M438 608431 p1 p4 300 N 
12885.0000 M439 772257 p0 p3 300 N 
12914.0000 M440 796268 p0 p4 300 N 
12947.0000 M441 597722 p8 p0 300 N 
12972.0000 M442 606296 p4 p1 300 N 
12997.0000 M443 642785 p3 p4 300 N 
13031.0000 M444 769861 p0 p1 300 N 
13056.0000 M445 574518 p2 p0 300 N 
13087.0000 M446 537295 p3 p8 300 N 
13121.0000 M447 899234 p3 p4 300 N 
13146.0000 M448 818460 p1 p8 300 N 
13179.0000 M449 616438 p7 p2 300 N 
13206.0000 M450 503419 p8 p0 300 N 
13237.0000 M451 675569 p0 p5 300 N 
13264.0000 M452 511142 p7 p8 300 N 
13296.0000 M453 919417 p9 p1 300 N 
13325.0000 M454 830753 p9 p1 300 N 
13351.0000 M455 661118 p4 p1 300 N 
13385.0000 M456 844122 p9 p4 300 N 
13410.0000 M457 713212 p8 p9 300 N 
13435.0000 M458 954985 p0 p5 300 N 
13467.0000 M459 693271 p6 p1 300 N 
13492.0000 M460 888175 p4 p1 300 N 
13518.0000 M461 965406 p9 p5 300 N 
13548.0000 M462 965496 p7 p2 300 N 
13578.0000 M463 864362 p1 p5 300 N 
13603.0000 M464 794011 p0 p1 300 N 
13636.0000 M465 730525 p9 p0 300 N 
13663.0000 M466 680950 p7 p8 300 N 
13692.0000 M467 771238 p1 p2 300 N 
13721.0000 M468 624020 p8 p6 300 N 
13746.0000 M469 863239 p3 p0 300 N 
13779.0000 M470 974992 p1 p6 300 N 
13813.0000 M471 761773 p5 p4 300 N 
13846.0000 M472 728489 p7 p5 300 N 
13873.0000 M473 556138 p4 p9 300 N 
13900.0000 M474 889318 p4 p0 300 N 
13934.0000 M475 821253 p3 p6 300 N 
13965.0000 M476 740788 p1 p2 300 N 
13995.0000 M477 734563 p6 p7 300 N 
14021.0000 M478 556316 p6 p0 300 N 
14055.0000 M479 515648 p4 p0 300 N 
14086.0000 M480 567072 p8 p5 300 N 
14119.0000 M481 784597 p3 p8 300 N 
14149.0000 M482 740796 p4 p9 300 N 
14175.0000 M483 518161 p7 p2 300 N 
14202.0000 M484 644999 p3 p6 300 N 
14228.0000 M485 959618 p9 p3 300 N 
14259.0000 M486 891377 p0 p4 300 N 
14290.0000 M487 596491 p5 p1 300 N 
14317.0000 M488 579959 p9 p6 300 N 
14346.0000 M489 627072 p3 p2 300 N 
14374.0000 M490 638869 p0 p8 300 N 
14402.0000 M491 523188 p0 p2 300 N 
14435.0000 M492 745692 p3 p2 300 N 
14460.0000 M493 695384 p4 p5 300 N 
14493.0000 M494 699078 p8 p6 300 N 
14525.0000 M495 801154 p4 p1 300 N 
14555.0000 M496 501651 p4 p2 300 N 
14584.0000 M497 739122 p2 p7 300 N 
14609.0000 M498 674611 p5 p7 300 N 
14634.0000 M499 834066 p8 p1 300 N 
14666.0000 M500 523611 p5 p7 300 N 
14700.0000 M501 554773 p9 p2 300 N 
14733.0000 M502 531116 p6 p2 300 N 
14765.0000 M503 580953 p7 p4 300 N 
14790.0000 M504 783175 p8 p9 300 N 
14817.0000 M505 932677 p4 p7 300 N 
14849.0000 M506 973376 p2 p0 300 N 
14878.0000 M507 842486 p3 p4 300 N 
14910.0000 M508 514726 p4 p6 300 N 
14944.0000 M509 725110 p6 p1 300 N 
14973.0000 M510 902071 p3 p7 300 N 
15003.0000 M511 795905 p1 p5 300 N 
15036.0000 M512 811736 p9 p2 300 N 
15069.0000 M513 539440 p0 p1 300 N 
15095.0000 M514 708588 p1 p9 300 N 
15125.0000 M515 599585 p0 p1 300 N 
15156.0000 M516 920698 p3 p7 300 N 
15184.0000 M517 852949 p3 p0 300 N 
15214.0000 M518 861450 p5 p3 300 N 
15243.0000 M519 752332 p1 p8 300 N 
15270.0000 M520 638760 p8 p9 300 N 
15301.0000 M521 974890 p6 p0 300 N 
15330.0000 M522 593823 p0 p4 300 N 
15358.0000 M523 622390 p3 p8 300 N 
15384.0000 M524 807903 p9 p0 300 N 
15414.0000 M525 922869 p2 p4 300 N 
15448.0000 M526 755717 p6 p8 300 N 
15481.0000 M527 676625 p0 p8 300 N 
15506.0000 M528 791299 p4 p2 300 N 
15539.0000 M529 695797 p1 p7 300 N 
15573.0000 M530 611808 p1 p2 300 N 
15604.0000 M531 575607 p8 p3 300 N 
15632.0000 M532 635705 p9 p6 300 N 
15666.0000 M533 993175 p4 p9 300 N 
15698.0000 M534 711075 p7 p8 300 N 
15729.0000 M535 588080 p6 p4 300 N 
15759.0000 M536 697484 p6 p1 300 N 
15790.0000 M537 542039 p8 p0 300 N 
15815.0000 M538 556894 p1 p5 300 N 
15844.0000 M539 713497 p0 p3 300 N 
15876.0000 M540 682333 p4 p7 300 N 
15901.0000 M541 584862 p4 p8 300 N 
15927.0000 M542 757669 p5 p9 300 N 
15960.0000 M543 906922 p4 p2 300 N 
15990.0000 M544 651438 p4 p0 300 N 
16022.0000 M545 503992 p1 p9 300 N 
16053.0000 M546 592138 p8 p2 300 N 
16087.0000 M547 515964 p9 p7 300 N 
16116.0000 M548 503202 p1 p8 300 N 
16141.0000 M549 556813 p3 p6 300 N 
16168.0000 M550 847942 p3 p6 300 N 
16201.0000 M551 532877 p8 p3 300 N 
16231.0000 M552 980839 p8 p1 300 N 
16258.0000 M553 648674 p1 p4 300 N 
16285.0000 M554 608102 p4 p3 300 N 
16312.0000 M555 873401 p2 p5 300 N 
16344.0000 M556 731631 p5 p1 300 N 
16370.0000 M557 970119 p7 p1 300 N 
16400.0000 M558 970570 p3 p6 300 N 
16428.0000 M559 997759 p0 p1 300 N 
16459.0000 M560 596269 p7 p2 300 N 
16493.0000 M561 551471 p0 p3 300 N 
16523.0000 M562 844847 p9 p1 300 N 
16551.0000 M563 955534 p6 p9 300 N 
16585.0000 M564 697601 p6 p3 300 N 
16614.0000 M565 524726 p3 p8 300 N 
16643.0000 M566 801556 p0 p1 300 N 
16677.0000 M567 923296 p7 p2 300 N 
16711.0000 M568 553596 p5 p8 300 N 
16741.0000 M569 647598 p4 p3 300 N 
16772.0000 M570 931023 p2 p3 300 N 
16804.0000 M571 892632 p7 p4 300 N 
16829.0000 M572 864542 p0 p5 300 N 
16863.0000 M573 565577 p2 p9 300 N 
16895.0000 M574 729644 p7 p1 300 N 
16925.0000 M575 862255 p7 p9 300 N 
16955.0000 M576 507016 p9 p0 300 N 
16980.0000 M577 827688 p9 p0 300 N 
17008.0000 M578 626408 p1 p9 300 N 
17042.0000 M579 771165 p0 p1 300 N 
17075.0000 M580 751122 p5 p6 300 N 
17100.0000 M581 540836 p9 p8 300 N 
17131.0000 M582 778760 p1 p3 300 N 
17160.0000 M583 667830 p4 p2 300 N 
17187.0000 M584 604528 p4 p8 300 N 
17217.0000 M585 795890 p3 p9 300 N 
17246.0000 M586 555939 p9 p0 300 N 
17272.0000 M587 683841 p9 p0 300 N 
17300.0000 M588 586944 p6 p4 300 N 
17332.0000 M589 876947 p3 p1 300 N 
17364.0000 M590 745210 p1 p7 300 N 
17393.0000 M591 542625 p6 p9 300 N 
17426.0000 M592 791349 p8 p4 300 N 
17453.0000 M593 678117 p8 p2 300 N 
17478.0000 M594 880841 p6 p0 300 N 
17512.0000 M595 589090 p0 p5 300 N 
17545.0000 M596 732576 p7 p3 300 N 
17571.0000 M597 757458 p3 p5 300 N 
17603.0000 M598 714504 p1 p2 300 N 
17630.0000 M599 912833 p5 p3 300 N 
17662.0000 M600 558609 p6 p9 300 N 
17687.0000 M601 745615 p5 p8 300 N 
17715.0000 M602 736441 p9 p3 300 N 
17748.0000 M603 987716 p5 p7 300 N 
17782.0000 M604 507876 p2 p5 300 N 
17812.0000 M605 993299 p8 p1 300 N 
17845.0000 M606 828322 p6 p3 300 N 
17875.0000 M607 656986 p2 p9 300 N 
